AÃ‘O,PROVINCIA,CANTON,ID_cant,PARROQUIA,ENFERMEDAD,SE,NUM..CASOS
2014,Azuay,Cuenca,Cuenca,"Cuenca, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),7,1
2014,Azuay,Cuenca,Cuenca,"Cuenca, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),27,1
2014,Azuay,Cuenca,Cuenca,"Cuenca, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),5,1
2014,Azuay,Cuenca,Cuenca,"Cuenca, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),8,1
2014,Azuay,Cuenca,Cuenca,"Cuenca, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),52,1
2014,Azuay,Cuenca,Cuenca,"Cuenca, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),11,1
2014,Azuay,Cuenca,Cuenca,"Cuenca, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),23,1
2014,Azuay,Cuenca,Cuenca,"Cuenca, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),5,1
2014,Azuay,Cuenca,Cuenca,"Cuenca, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),13,1
2014,Azuay,Cuenca,Cuenca,"Cuenca, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),18,1
2014,Azuay,Cuenca,Cuenca,"Cuenca, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),27,1
2014,Azuay,Cuenca,Cuenca,"Cuenca, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),52,1
2014,Bolívar,Chillanes,Chillanes,"Chillanes, cabecera cantonal",Fiebre del dengue (dengue clásico),40,1
2014,Cañar,Azogues,Azogues,Azogues,Fiebre del dengue (dengue clásico),25,1
2014,Cotopaxi,Latacunga,Latacunga,La Matriz,Fiebre del dengue (dengue clásico),36,1
2014,Cotopaxi,Latacunga,Latacunga,La Matriz,Fiebre del dengue (dengue clásico),16,1
2014,Cotopaxi,Latacunga,Latacunga,La Matriz,Fiebre del dengue (dengue clásico),31,1
2014,Cotopaxi,Latacunga,Latacunga,La Matriz,Fiebre del dengue (dengue clásico),29,1
2014,Cotopaxi,Latacunga,Latacunga,La Matriz,Fiebre del dengue (dengue clásico),37,1
2014,Cotopaxi,Latacunga,Latacunga,La Matriz,Fiebre del dengue (dengue clásico),41,1
2014,Cotopaxi,Latacunga,Latacunga,La Matriz,Fiebre del dengue (dengue clásico),41,1
2014,Cotopaxi,Pangua,Pangua,El Corazón,Fiebre del dengue (dengue clásico),31,1
2014,Chimborazo,Riobamba,Riobamba,Velasco,Fiebre del dengue (dengue clásico),36,1
2014,El Oro,Machala,Machala,"Machala, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),18,1
2014,El Oro,Machala,Machala,"Machala, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),21,1
2014,El Oro,Machala,Machala,"Machala, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),19,1
2014,El Oro,Machala,Machala,"Machala, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),19,1
2014,El Oro,Machala,Machala,"Machala, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),23,1
2014,El Oro,Machala,Machala,"Machala, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),26,1
2014,El Oro,Machala,Machala,"Machala, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),23,1
2014,El Oro,Machala,Machala,"Machala, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),25,1
2014,El Oro,Machala,Machala,"Machala, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),22,1
2014,El Oro,Machala,Machala,"Machala, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),23,1
2014,El Oro,Machala,Machala,"Machala, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),24,1
2014,El Oro,Machala,Machala,"Machala, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),24,1
2014,El Oro,Machala,Machala,"Machala, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),25,1
2014,El Oro,Machala,Machala,"Machala, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),26,1
2014,El Oro,Machala,Machala,"Machala, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),30,1
2014,El Oro,Machala,Machala,"Machala, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),30,1
2014,El Oro,Machala,Machala,"Machala, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),30,1
2014,El Oro,Machala,Machala,"Machala, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),28,1
2014,El Oro,Machala,Machala,"Machala, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),28,1
2014,El Oro,Machala,Machala,"Machala, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),26,1
2014,El Oro,Machala,Machala,"Machala, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),27,1
2014,El Oro,Machala,Machala,"Machala, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),27,1
2014,El Oro,Machala,Machala,"Machala, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),28,1
2014,El Oro,Machala,Machala,"Machala, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),29,1
2014,El Oro,Machala,Machala,"Machala, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),31,1
2014,El Oro,Machala,Machala,"Machala, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),31,1
2014,El Oro,Machala,Machala,"Machala, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),34,1
2014,El Oro,Machala,Machala,"Machala, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),34,1
2014,El Oro,Machala,Machala,"Machala, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),32,1
2014,El Oro,Machala,Machala,"Machala, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),36,1
2014,El Oro,Machala,Machala,"Machala, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),42,1
2014,El Oro,Machala,Machala,"Machala, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),42,1
2014,El Oro,Machala,Machala,"Machala, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),45,1
2014,El Oro,Machala,Machala,"Machala, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),45,1
2014,El Oro,Machala,Machala,"Machala, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),45,1
2014,El Oro,Machala,Machala,"Machala, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),48,1
2014,El Oro,Machala,Machala,"Machala, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),48,1
2014,El Oro,Machala,Machala,"Machala, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),42,1
2014,El Oro,Machala,Machala,"Machala, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),24,1
2014,El Oro,Machala,Machala,"Machala, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),25,1
2014,El Oro,Machala,Machala,"Machala, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),25,1
2014,El Oro,Machala,Machala,"Machala, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),13,1
2014,El Oro,Machala,Machala,"Machala, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),3,1
2014,El Oro,Machala,Machala,"Machala, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),19,1
2014,El Oro,Machala,Machala,"Machala, cabecera cantonal y capital provincial",Fiebre del dengue (dengue clásico),30,1
